NUM_CTE,PRODUCTO,SUBPROD,ID_PROCESO,DESTINO,TIPO_CTE,COTIZACION,TIPO_OFERTA,DES_PROD,DES_PROD_GLOBAL,FLUJO,TEST_FLUJO,TIPO_PRODUCTO,VIGENCIA,LINEA_APROBADA_LEAP,TIPO_LINEA,ESTATUS_OFERTA_ORIGEN,ESTATUS_OFERTAS_003,ERROR_RECHAZO,DESCRIP_ESTATUS_021,TIPO_TDC,DESCRIP_TIPO_TDC,TIPO,OBSERVACION,BITACORA_CAMBIOS,BAJA,FECHA_BAJA,FEC_ULT_ACT_ST_021,FEC_PROCESO,MES_INFORMACION,MES_INFO_EVAL,MES_CAMPANA,LLAVE_MULT
1-275014-RZ,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,1.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,194808500200200220200102                                                                            
1-923560-LX,004,002,801,1000005.0,1000001.0,3430.0,Preaprobado,Top Up Credito Personal,Consumo,Corto,1.0,CP        ,20200102.0,576000.0,Simple    ,CON-LINEA,Aceptado,0.0,Activo OH-CARDS,,,1.0,,,NO,0.0,0.0,20191106.0,201909.0,201910.0,201911.0,109002000400280120200102                                                                            
1-238589-PG,002,002,002,1000001.0,1000001.0,99.0,Preaprobado,Inmediauto,Autos,Largo,1.0,INM       ,20200102.0,500000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,59942500200200220200102                                                                             
1-516923-JM,004,002,801,1000001.0,1000006.0,1680.0,Preaprobado,Credito Personal,Consumo,Corto,1.0,CP Corto  ,20200102.0,150000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,107840500400280120200102                                                                            
1-522978-DW,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,1.0,TDC       ,20200102.0,20000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,78.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,168262500100290120200102                                                                            
1-122092-QN,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,3.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,334901000200200220200102                                                                            
1-774716-FE,004,002,801,1000001.0,1000006.0,1682.0,Preaprobado,Credito Personal,Consumo,Corto,2.0,CP Corto  ,20200102.0,80000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,353443500400280120200102                                                                            
1-286818-LH,001,002,901,1000002.0,1000006.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,150000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,73.0,2N,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,59895500100290120200102                                                                             
1-755962-S\,001,002,901,1000002.0,1000001.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,150000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,73.0,2N,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,111793000100290120200102                                                                            
1-402382-Z[,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,1.0,INM       ,20200102.0,300000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,211038000200200220200102                                                                            
1-415489-[A,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,255842500200200220200102                                                                            
1-600755-FF,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,300000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,322037500200200220200102                                                                            
1-502708-HE,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,426406500200200220200102                                                                            
1-608849-AY,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,5000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,78.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,13197500100290120200102                                                                             
1-306284-SE,004,001,002,1000001.0,2000008.0,8012.0,Preaprobado,Anticipo de Nomina,Consumo,Largo,3.0,AN        ,20200102.0,294000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,50807500400100220200102                                                                             
1-449464-FU,004,002,801,1000001.0,1000001.0,1707.0,Preaprobado,Credito Personal,Consumo,Corto,2.0,CP Corto  ,20200102.0,250000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,171383000400280120200102                                                                            
1-222827-VF,002,002,002,1000001.0,1000003.0,99.0,Preaprobado,Inmediauto,Autos,Largo,3.0,INM       ,20200102.0,137000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,254408500200200220200102                                                                            
1-122092-QN,004,002,002,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Largo,3.0,CP        ,20200102.0,170998.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,334901000400200220200102                                                                            
1-589495-BJ,001,002,002,1000001.0,1000004.0,99.0,Preaprobado,Tarjeta de Credito Preaprobado,Tarjetas,Largo,3.0,TDC       ,20200102.0,136000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,73.0,2N,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,372564000100200220200102                                                                            
1-737215-ZS,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,108642500200200220200102                                                                            
1-333328-RM,004,007,801,1000003.0,1000004.0,9234.0,Preaprobado,Disposicion Inmediata Credito Personal,Consumo,Corto,1.0,DI CP     ,20200102.0,155000.0,Revolvente,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,173101000400780120200102                                                                            
1-589495-BJ,004,002,002,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Largo,3.0,CP        ,20200102.0,238003.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,372564000400200220200102                                                                            
1-316974-GO,004,002,002,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Largo,2.0,CP        ,20200102.0,68000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,392510500400200220200102                                                                            
1-167283-UO,004,002,002,1000001.0,2000094.0,4625.0,Preaprobado,Credito Personal,Consumo,Largo,1.0,CP        ,20200102.0,500013.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,65965500400200220200102                                                                             
1-237705-[G,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,150000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,73.0,2N,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,98553000100290120200102                                                                             
1-308379-K\,004,002,801,1000001.0,2000105.0,470.0,Preaprobado,Credito Personal,Consumo,Corto,1.0,CP Corto  ,20200102.0,196000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,148674000400280120200102                                                                            
1-394251-BE,001,002,901,1000002.0,1000003.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,1.0,TDC       ,20200102.0,20000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,78.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,199060500100290120200102                                                                            
1-329275-TQ,004,007,801,1000003.0,1000004.0,1715.0,Preaprobado,Disposicion Inmediata Credito Personal,Consumo,Corto,1.0,DI CP     ,20200102.0,70000.0,Revolvente,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,207779000400780120200102                                                                            
1-345737-JV,004,002,002,1000001.0,1000004.0,1676.0,Preaprobado,Credito Personal,Consumo,Largo,2.0,CP        ,20200102.0,109994.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,228524500400200220200102                                                                            
1-744222-VF,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,1.0,TDC       ,20200102.0,5000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,78.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,229238000100290120200102                                                                            
1-181510-UO,004,001,002,1000001.0,2000008.0,1619.0,Preaprobado,Anticipo de Nomina,Consumo,Largo,2.0,AN        ,20200102.0,48989.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,241690500400100220200102                                                                            
1-824897-HV,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,337194000200200220200102                                                                            
1-625235-O\,004,007,801,1000003.0,4000004.0,2107.0,Preaprobado,Disposicion Inmediata Anticipo de Nomina,Consumo,Corto,2.0,DI AN     ,20200102.0,250000.0,Revolvente,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,358509000400780120200102                                                                            
1-455697-NH,004,002,801,1000001.0,1000006.0,8897.0,Preaprobado,Credito Personal,Consumo,Corto,2.0,CP Corto  ,20200102.0,500000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,78682000400280120200102                                                                             
1-418695-XT,004,002,002,1000001.0,2000094.0,4625.0,Preaprobado,Credito Personal,Consumo,Largo,1.0,CP        ,20200102.0,587005.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,154765500400200220200102                                                                            
1-455697-NH,001,002,901,1000002.0,1000006.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,113000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,72.0,2N,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,78682000100290120200102                                                                             
1-402382-Z[,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,1.0,TDC       ,20200102.0,146000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,72.0,2N,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,211038000100290120200102                                                                            
1-935523-TE,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,224623500200200220200102                                                                            
1-577269-LX,004,001,002,1000001.0,2000094.0,2899.0,Preaprobado,Anticipo de Nomina,Consumo,Largo,2.0,AN        ,20200102.0,0.0,Simple    ,==> LEAP,Rechazado,135.0,Sin Producto en APSC,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,130579500400100220200102                                                                            
1-792665-FF,001,002,002,1000001.0,1000004.0,99.0,Preaprobado,Tarjeta de Credito Preaprobado,Tarjetas,Largo,2.0,TDC       ,20200102.0,26000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,80.0,ZE,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,147629500100200220200102                                                                            
1-968481-ZY,004,002,801,1000001.0,1000004.0,8799.0,Preaprobado,Credito Personal,Consumo,Corto,1.0,CP Corto  ,20200102.0,55000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,151164000400280120200102                                                                            
1-753828-WO,004,002,002,1000001.0,1000006.0,1680.0,Preaprobado,Credito Personal,Consumo,Largo,1.0,CP        ,20200102.0,149993.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,328704000400200220200102                                                                            
1-853583-QO,004,002,002,1000001.0,2000094.0,4625.0,Preaprobado,Credito Personal,Consumo,Largo,3.0,CP        ,20200102.0,360016.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,132553000400200220200102                                                                            
1-521910-ST,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,1.0,INM       ,20200102.0,300000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,212141000200200220200102                                                                            
1-796928-RO,002,002,002,1000001.0,1000006.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,262135000200200220200102                                                                            
1-516923-JM,002,002,002,1000001.0,1000001.0,99.0,Preaprobado,Inmediauto,Autos,Largo,1.0,INM       ,20200102.0,500000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,107840500200200220200102                                                                            
1-974526-CJ,004,002,002,1000001.0,1000006.0,1680.0,Preaprobado,Credito Personal,Consumo,Largo,2.0,CP        ,20200102.0,149993.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,235639000400200220200102                                                                            
1-336337-TT,002,002,002,1000001.0,1000003.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,367000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,55530500200200220200102                                                                             
1-675178-YT,004,001,801,1000001.0,2000008.0,8015.0,Preaprobado,Anticipo de Nomina,Consumo,Corto,2.0,AN Corto  ,20200102.0,31000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,69702500400180120200102                                                                             
1-609965-MF,004,002,801,1000001.0,1000004.0,8776.0,Preaprobado,Credito Personal,Consumo,Corto,1.0,CP Corto  ,20200102.0,125000.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191104.0,201909.0,201910.0,201911.0,144743000400280120200102                                                                            
1-792665-FF,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,2.0,INM       ,20200102.0,374000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,147629500200200220200102                                                                            
1-418695-XT,001,002,901,1000002.0,1000001.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,1.0,TDC       ,20200102.0,116000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,60.0,PR,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,154765500100290120200102                                                                            
1-257331-IP,002,002,002,1000001.0,1000004.0,99.0,Preaprobado,Inmediauto,Autos,Largo,3.0,INM       ,20200102.0,400000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,258182500200200220200102                                                                            
1-723583-OX,001,002,901,1000002.0,1000004.0,99.0,Preaprobado,Grabacion Automática,Tarjetas,Corto,2.0,TDC       ,20200102.0,9000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Dispuesto,79.0,ZE,1.0,,                                                                                                    ,NO,0.0,0.0,20191102.0,201909.0,201910.0,201911.0,71801500100290120200102                                                                             
1-739457-NF,004,002,002,1000001.0,2000094.0,4625.0,Preaprobado,Credito Personal,Consumo,Largo,1.0,CP        ,20200102.0,360016.0,Simple    ,CON-LINEA ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,133537500400200220200102                                                                            
1-274332-CL,002,002,002,1000001.0,1000001.0,99.0,Preaprobado,Inmediauto,Autos,Largo,3.0,INM       ,20200102.0,500000.0,Simple    ,ACEPTADO  ,Aceptado,0.0,Activo,,,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,135743500200200220200102                                                                            
1-415489-[A,001,002,002,1000001.0,1000004.0,99.0,Preaprobado,Tarjeta de Credito Preaprobado,Tarjetas,Largo,2.0,TDC       ,20200102.0,28000.0,Revolvente,ACEPTADO  ,Aceptado,0.0,Activo,80.0,ZE,1.0,,,NO,0.0,0.0,20191105.0,201909.0,201910.0,201911.0,255842500100200220200102                                                                            
