NUM_CTE,OFER_6M,NUM_OFER,FRESCURA
1-106126-RD,3.0,3.0,Regular   
1-548890-VO,2.0,4.0,Irregular 
1-151914-KB,4.0,8.0,Regular   
1-836139-OL,2.0,4.0,Irregular 
1-541362-WE,4.0,7.0,Regular   
1-791711-D[,4.0,8.0,Regular   
1-248770-LM,1.0,1.0,Fresco    
1-894832-[[,4.0,12.0,Regular   
1-170771-NR,2.0,3.0,Irregular 
1-597580-GZ,4.0,11.0,Regular   
1-653254-MA,3.0,7.0,Regular   
1-558765-TE,2.0,6.0,Irregular 
1-838643-QA,1.0,1.0,Fresco    
1-859454-BU,3.0,6.0,Regular   
1-509248-TI,4.0,7.0,Regular   
1-981574-VT,1.0,1.0,Fresco    
1-138501-SR,3.0,6.0,Regular   
1-413912-[A,2.0,2.0,Irregular 
1-310033-MO,2.0,3.0,Irregular 
1-338638-SU,4.0,11.0,Regular   
1-293525-WK,4.0,12.0,Regular   
1-445023-WA,2.0,6.0,Irregular 
1-263567-[L,3.0,6.0,Regular   
1-456890-VN,4.0,4.0,Regular   
1-104293-DB,2.0,6.0,Irregular 
1-583642-LP,4.0,9.0,Regular   
1-983695-TW,3.0,9.0,Regular   
1-147821-AP,3.0,3.0,Regular   
1-435422-HN,1.0,3.0,Fresco    
1-575609-KX,4.0,8.0,Regular   
1-837826-PN,4.0,7.0,Regular   
1-307830-KA,2.0,6.0,Irregular 
1-528614-BM,2.0,3.0,Irregular 
1-112535-AI,4.0,12.0,Regular   
1-651380-XE,1.0,1.0,Fresco    
1-394060-EL,4.0,12.0,Regular   
1-789256-FJ,3.0,5.0,Regular   
1-130987-SB,4.0,6.0,Regular   
1-824498-SC,4.0,7.0,Regular   
1-728517-WA,3.0,4.0,Regular   
1-444088-VU,1.0,1.0,Fresco    
1-822274-TG,2.0,4.0,Irregular 
1-823200-TD,3.0,6.0,Regular   
1-103924-SF,4.0,6.0,Regular   
1-123026-WU,4.0,9.0,Regular   
1-891691-GB,4.0,6.0,Regular   
1-807030-OB,4.0,11.0,Regular   
1-280110-TP,4.0,9.0,Regular   
1-479811-BF,4.0,8.0,Regular   
1-578220-M[,4.0,11.0,Regular   
1-696825-VN,4.0,7.0,Regular   
1-565902-PM,1.0,2.0,Fresco    
1-407510-LN,2.0,5.0,Irregular 
1-567087-QP,3.0,9.0,Regular   
1-854169-W[,4.0,8.0,Regular   
1-832900-RV,4.0,8.0,Regular   
1-272876-RJ,4.0,12.0,Regular   
1-842747-CZ,1.0,3.0,Fresco    
1-804116-[S,2.0,2.0,Irregular 
1-449161-HN,4.0,9.0,Regular   
1-593471-WM,4.0,11.0,Regular   
1-156318-FI,2.0,4.0,Irregular 
1-975742-ZJ,1.0,1.0,Fresco    
1-480488-XO,3.0,9.0,Regular   
1-929308-[[,3.0,9.0,Regular   
1-663697-[G,4.0,6.0,Regular   
1-934092-NC,1.0,2.0,Fresco    
1-232632-BN,1.0,1.0,Fresco    
1-465010-AJ,2.0,2.0,Irregular 
1-388416-BM,1.0,2.0,Fresco    
1-243940-QR,4.0,8.0,Regular   
1-391414-[A,4.0,4.0,Regular   
1-824777-YB,3.0,6.0,Regular   
1-970552-Q[,4.0,9.0,Regular   
1-225792-TN,4.0,7.0,Regular   
1-546859-KJ,1.0,1.0,Fresco    
1-978024-RN,4.0,6.0,Regular   
1-826905-BK,4.0,9.0,Regular   
1-152418-P[,3.0,3.0,Regular   
1-331413-JG,2.0,4.0,Irregular 
1-529786-XH,3.0,8.0,Regular   
1-823580-SF,4.0,7.0,Regular   
1-665406-PV,4.0,12.0,Regular   
1-360805-LH,2.0,2.0,Irregular 
1-728609-WV,3.0,3.0,Regular   
1-850666-FQ,4.0,12.0,Regular   
1-657769-NG,3.0,5.0,Regular   
1-896470-YA,4.0,6.0,Regular   
1-252939-GT,1.0,2.0,Fresco    
1-318192-BU,4.0,12.0,Regular   
1-663730-JN,3.0,3.0,Regular   
1-488758-RU,4.0,7.0,Regular   
1-340024-MY,3.0,6.0,Regular   
1-374758-TJ,1.0,1.0,Fresco    
1-911469-TQ,1.0,2.0,Fresco    
1-321827-YG,1.0,3.0,Fresco    
1-944782-TO,3.0,3.0,Regular   
1-158557-TB,1.0,3.0,Fresco    
1-192542-FJ,4.0,10.0,Regular   
1-123108-J[,4.0,8.0,Regular   
1-147348-R[,4.0,8.0,Regular   
1-605856-OA,2.0,6.0,Irregular 
1-984314-UP,1.0,2.0,Fresco    
1-903907-HS,3.0,7.0,Regular   
1-570093-UT,4.0,8.0,Regular   
1-520065-MH,2.0,3.0,Irregular 
1-277930-NR,4.0,9.0,Regular   
1-801802-KP,3.0,6.0,Regular   
1-533427-BC,1.0,1.0,Fresco    
1-482673-HF,2.0,6.0,Irregular 
1-762249-JX,4.0,12.0,Regular   
1-618361-XF,4.0,9.0,Regular   
1-997524-NZ,4.0,6.0,Regular   
1-374883-GU,3.0,9.0,Regular   
1-710032-KX,4.0,4.0,Regular   
1-304365-WM,2.0,4.0,Irregular 
1-601818-TK,1.0,2.0,Fresco    
1-744592-AW,3.0,5.0,Regular   
1-717107-YH,4.0,7.0,Regular   
1-237978-X[,3.0,9.0,Regular   
1-347208-XQ,4.0,12.0,Regular   
1-777727-KY,3.0,6.0,Regular   
1-389710-JT,3.0,4.0,Regular   
1-878813-YD,3.0,6.0,Regular   
1-911475-LG,4.0,6.0,Regular   
1-334214-DD,1.0,2.0,Fresco    
1-111588-IP,4.0,7.0,Regular   
1-375903-NX,2.0,6.0,Irregular 
1-285695-LY,2.0,3.0,Irregular 
1-160385-NX,3.0,6.0,Regular   
1-482048-UV,3.0,3.0,Regular   
1-444892-IS,4.0,9.0,Regular   
1-349697-KY,2.0,5.0,Irregular 
1-290968-TP,4.0,8.0,Regular   
1-274281-LJ,3.0,6.0,Regular   
1-496493-GP,3.0,6.0,Regular   
1-789219-[Z,4.0,5.0,Regular   
1-825509-QH,2.0,3.0,Irregular 
1-154577-EH,2.0,4.0,Irregular 
1-618386-Y\,4.0,8.0,Regular   
1-639561-FA,4.0,4.0,Regular   
1-795183-J\,2.0,3.0,Irregular 
1-546839-PG,3.0,8.0,Regular   
1-565412-GX,2.0,5.0,Irregular 
1-347824-RA,4.0,12.0,Regular   
1-631210-QH,4.0,12.0,Regular   
1-574676-PD,2.0,6.0,Irregular 
1-298948-B\,4.0,8.0,Regular   
1-946179-UE,2.0,4.0,Irregular 
1-244282-OA,1.0,1.0,Fresco    
1-217612-IF,3.0,3.0,Regular   
1-447639-EB,4.0,5.0,Regular   
1-470419-L[,2.0,2.0,Irregular 
1-586615-RT,3.0,3.0,Regular   
1-591042-XT,2.0,2.0,Irregular 
1-782674-DG,4.0,12.0,Regular   
1-870628-UZ,4.0,11.0,Regular   
1-976461-CN,3.0,3.0,Regular   
1-602739-TZ,4.0,7.0,Regular   
1-844074-MS,4.0,10.0,Regular   
1-848281-TK,2.0,3.0,Irregular 
1-335309-KW,4.0,8.0,Regular   
1-120090-[K,3.0,6.0,Regular   
1-465152-GW,4.0,12.0,Regular   
1-936401-QO,2.0,2.0,Irregular 
1-641376-KX,3.0,6.0,Regular   
1-366439-EJ,4.0,10.0,Regular   
1-961183-TV,4.0,8.0,Regular   
1-224607-OK,4.0,5.0,Regular   
1-200972-YG,3.0,6.0,Regular   
1-800456-XW,1.0,1.0,Fresco    
1-138246-OL,3.0,9.0,Regular   
1-106845-CI,4.0,4.0,Regular   
1-505488-VR,4.0,12.0,Regular   
1-469981-ZK,2.0,4.0,Irregular 
1-495502-UJ,4.0,8.0,Regular   
1-496074-K\,3.0,3.0,Regular   
1-708491-[X,2.0,2.0,Irregular 
1-419236-NP,1.0,1.0,Fresco    
1-491246-FZ,4.0,8.0,Regular   
1-823063-LO,1.0,3.0,Fresco    
1-351392-IW,4.0,8.0,Regular   
1-201248-SJ,3.0,6.0,Regular   
1-965686-PM,4.0,12.0,Regular   
1-230801-EO,4.0,10.0,Regular   
1-594364-TC,4.0,8.0,Regular   
1-775917-JQ,4.0,12.0,Regular   
1-184073-BA,4.0,9.0,Regular   
1-201536-NU,4.0,4.0,Regular   
1-381833-YE,2.0,3.0,Irregular 
1-814731-Y\,4.0,6.0,Regular   
1-924400-OX,4.0,8.0,Regular   
1-158920-FJ,4.0,12.0,Regular   
1-845602-EO,3.0,6.0,Regular   
1-354181-NN,1.0,1.0,Fresco    
1-737912-JD,1.0,1.0,Fresco    
1-373597-IY,2.0,2.0,Irregular 
1-580692-[R,2.0,4.0,Irregular 
1-750334-UF,2.0,5.0,Irregular 
1-586331-PI,4.0,12.0,Regular   
1-141567-TW,2.0,3.0,Irregular 
1-897992-OP,1.0,1.0,Fresco    
1-915158-UQ,4.0,10.0,Regular   
1-921976-AB,2.0,6.0,Irregular 
1-145396-VE,3.0,4.0,Regular   
1-172500-DW,2.0,2.0,Irregular 
1-993075-WB,1.0,1.0,Fresco    
1-552564-RL,4.0,12.0,Regular   
1-728008-BU,3.0,4.0,Regular   
1-146298-JA,4.0,11.0,Regular   
1-252540-PI,3.0,6.0,Regular   
1-157378-IP,2.0,4.0,Irregular 
1-555025-VN,1.0,3.0,Fresco    
1-504698-TH,4.0,12.0,Regular   
1-218103-D\,4.0,4.0,Regular   
1-614667-QN,4.0,10.0,Regular   
1-290252-KJ,2.0,2.0,Irregular 
1-538875-CW,4.0,4.0,Regular   
1-341805-ST,1.0,2.0,Fresco    
1-795838-LD,2.0,4.0,Irregular 
1-366472-LV,1.0,2.0,Fresco    
1-117822-BX,3.0,9.0,Regular   
1-406161-NK,3.0,3.0,Regular   
1-992473-SO,4.0,8.0,Regular   
1-175825-E\,4.0,6.0,Regular   
1-751907-US,3.0,6.0,Regular   
1-697942-FQ,1.0,1.0,Fresco    
1-203406-TR,2.0,2.0,Irregular 
1-692864-JJ,4.0,4.0,Regular   
1-662514-LY,2.0,2.0,Irregular 
1-604270-[L,2.0,5.0,Irregular 
1-406897-C\,4.0,11.0,Regular   
1-115594-FT,4.0,12.0,Regular   
1-920619-KB,4.0,8.0,Regular   
1-373833-EJ,3.0,3.0,Regular   
1-502108-VM,2.0,2.0,Irregular 
1-196541-[[,2.0,2.0,Irregular 
1-939560-BB,1.0,2.0,Fresco    
1-703533-BD,1.0,2.0,Fresco    
1-823452-ET,4.0,4.0,Regular   
1-212681-DY,4.0,4.0,Regular   
1-154039-VJ,2.0,4.0,Irregular 
1-549566-PV,3.0,6.0,Regular   
1-631139-EM,4.0,9.0,Regular   
1-135982-SM,4.0,10.0,Regular   
1-954299-NP,2.0,5.0,Irregular 
1-155030-CW,4.0,8.0,Regular   
1-153727-BE,4.0,6.0,Regular   
1-108752-CL,4.0,7.0,Regular   
1-787640-YP,3.0,5.0,Regular   
1-901217-JG,2.0,4.0,Irregular 
1-214082-QH,1.0,3.0,Fresco    
1-492358-CA,4.0,9.0,Regular   
1-618059-IM,2.0,4.0,Irregular 
1-922744-FT,4.0,4.0,Regular   
1-842559-JG,3.0,3.0,Regular   
1-369553-YG,4.0,10.0,Regular   
1-730005-HX,4.0,4.0,Regular   
1-100916-MK,4.0,10.0,Regular   
1-231157-YP,1.0,1.0,Fresco    
1-790917-PV,4.0,12.0,Regular   
1-844021-BQ,1.0,1.0,Fresco    
1-302898-SZ,3.0,3.0,Regular   
1-485553-UC,3.0,3.0,Regular   
1-422898-OS,1.0,1.0,Fresco    
1-987667-XP,4.0,10.0,Regular   
1-368653-OX,3.0,5.0,Regular   
1-367532-TW,2.0,6.0,Irregular 
1-628126-VF,4.0,4.0,Regular   
1-533810-CG,4.0,10.0,Regular   
1-963293-PQ,4.0,12.0,Regular   
1-606008-SO,4.0,10.0,Regular   
1-477619-XM,4.0,6.0,Regular   
1-847989-SI,4.0,5.0,Regular   
1-409489-JQ,2.0,2.0,Irregular 
1-613964-CI,3.0,3.0,Regular   
1-999502-ZM,3.0,5.0,Regular   
1-371856-RT,1.0,3.0,Fresco    
1-632204-NU,4.0,4.0,Regular   
1-635413-DN,3.0,3.0,Regular   
1-629536-QA,3.0,6.0,Regular   
1-600702-JS,4.0,10.0,Regular   
1-424527-[V,1.0,1.0,Fresco    
1-911394-HS,1.0,3.0,Fresco    
1-710431-YP,4.0,4.0,Regular   
1-903288-DJ,1.0,2.0,Fresco    
1-570529-EC,2.0,6.0,Irregular 
1-723896-YA,4.0,4.0,Regular   
1-875944-OS,4.0,4.0,Regular   
1-796963-F\,4.0,10.0,Regular   
1-728099-WP,4.0,4.0,Regular   
1-329270-GR,4.0,8.0,Regular   
1-462933-PW,3.0,4.0,Regular   
1-940159-QT,4.0,12.0,Regular   
1-951290-RJ,1.0,1.0,Fresco    
1-963547-JO,4.0,8.0,Regular   
1-280200-JB,4.0,12.0,Regular   
1-334319-BZ,3.0,6.0,Regular   
1-868196-JV,2.0,6.0,Irregular 
1-360084-CA,3.0,4.0,Regular   
1-901218-DD,4.0,12.0,Regular   
1-354898-TM,2.0,4.0,Irregular 
1-562979-CN,4.0,8.0,Regular   
1-488737-JG,3.0,9.0,Regular   
1-904778-FG,1.0,2.0,Fresco    
1-378900-[Q,3.0,8.0,Regular   
1-356180-DW,4.0,8.0,Regular   
1-777991-GD,2.0,2.0,Irregular 
1-415124-OR,3.0,7.0,Regular   
1-950714-LM,2.0,3.0,Irregular 
1-744748-VH,3.0,6.0,Regular   
1-436587-BD,2.0,2.0,Irregular 
1-593036-XM,3.0,3.0,Regular   
1-392301-[O,4.0,6.0,Regular   
1-200072-FZ,1.0,3.0,Fresco    
1-686549-YY,4.0,8.0,Regular   
1-988273-MS,2.0,4.0,Irregular 
1-870855-JY,4.0,8.0,Regular   
1-544687-SY,4.0,7.0,Regular   
1-415434-KZ,2.0,5.0,Irregular 
1-291454-LM,2.0,3.0,Irregular 
1-869159-JY,4.0,6.0,Regular   
1-503797-NW,1.0,3.0,Fresco    
1-943302-HI,2.0,4.0,Irregular 
1-421268-GT,4.0,5.0,Regular   
1-707270-FZ,1.0,2.0,Fresco    
1-789712-XZ,4.0,10.0,Regular   
1-639084-YB,4.0,11.0,Regular   
1-209276-TT,4.0,7.0,Regular   
1-490452-RZ,4.0,8.0,Regular   
1-949055-FO,4.0,8.0,Regular   
1-303093-[C,3.0,6.0,Regular   
1-476758-FX,4.0,4.0,Regular   
1-239864-JR,3.0,5.0,Regular   
1-862129-NH,4.0,8.0,Regular   
1-691270-OH,2.0,5.0,Irregular 
1-566000-[E,4.0,8.0,Regular   
1-892557-WI,4.0,12.0,Regular   
1-829089-[V,3.0,6.0,Regular   
1-502625-TT,2.0,3.0,Irregular 
1-649787-IY,4.0,4.0,Regular   
1-613766-HO,1.0,1.0,Fresco    
1-268092-ZT,4.0,9.0,Regular   
1-270090-RQ,4.0,4.0,Regular   
1-683236-[F,2.0,2.0,Irregular 
1-919992-DA,3.0,6.0,Regular   
1-848707-HH,2.0,2.0,Irregular 
1-815224-WM,2.0,4.0,Irregular 
1-294052-X\,4.0,8.0,Regular   
1-295975-AJ,4.0,7.0,Regular   
1-842653-UH,4.0,6.0,Regular   
1-921013-BB,4.0,11.0,Regular   
1-613069-RB,2.0,2.0,Irregular 
1-854076-CW,4.0,4.0,Regular   
1-924530-ZS,3.0,8.0,Regular   
1-483600-YK,3.0,4.0,Regular   
1-446994-KZ,4.0,11.0,Regular   
1-629274-YE,4.0,5.0,Regular   
1-346201-V[,2.0,3.0,Irregular 
1-444949-KB,4.0,12.0,Regular   
1-173990-GC,1.0,2.0,Fresco    
1-857209-JA,2.0,2.0,Irregular 
1-706270-JU,4.0,8.0,Regular   
1-326123-N\,3.0,6.0,Regular   
1-518830-GH,4.0,12.0,Regular   
1-252971-WU,2.0,4.0,Irregular 
1-928784-X[,4.0,9.0,Regular   
1-923915-XX,4.0,8.0,Regular   
1-483941-[N,4.0,9.0,Regular   
1-101889-BX,4.0,8.0,Regular   
1-785503-EA,3.0,3.0,Regular   
1-514524-Z[,4.0,6.0,Regular   
1-978834-MX,2.0,4.0,Irregular 
1-400916-TO,3.0,4.0,Regular   
1-941609-DD,3.0,9.0,Regular   
1-427440-BJ,3.0,6.0,Regular   
1-444883-ZI,3.0,7.0,Regular   
1-339078-WB,4.0,8.0,Regular   
1-981790-OM,4.0,8.0,Regular   
1-670462-OW,4.0,8.0,Regular   
1-329685-JX,1.0,1.0,Fresco    
1-435336-KL,3.0,3.0,Regular   
1-221975-BX,4.0,6.0,Regular   
1-941879-VA,3.0,6.0,Regular   
1-885172-OU,4.0,8.0,Regular   
1-820368-[E,4.0,12.0,Regular   
1-193156-KN,2.0,5.0,Irregular 
1-534841-XD,4.0,4.0,Regular   
1-102509-XM,4.0,7.0,Regular   
1-756410-AO,3.0,4.0,Regular   
1-338595-JV,4.0,6.0,Regular   
1-728252-KV,4.0,10.0,Regular   
1-322231-CR,2.0,4.0,Irregular 
1-831579-WP,3.0,5.0,Regular   
1-756061-TP,4.0,9.0,Regular   
1-216138-DO,3.0,3.0,Regular   
1-878935-BP,1.0,2.0,Fresco    
1-731088-YL,3.0,6.0,Regular   
1-763207-IU,2.0,4.0,Irregular 
1-404770-QL,4.0,8.0,Regular   
1-565651-KT,1.0,1.0,Fresco    
1-402955-TI,4.0,4.0,Regular   
1-427593-DF,2.0,6.0,Irregular 
1-617112-HM,4.0,6.0,Regular   
1-784928-GF,2.0,2.0,Irregular 
1-656663-DR,4.0,10.0,Regular   
1-442744-MR,2.0,4.0,Irregular 
1-937790-CF,4.0,7.0,Regular   
1-963873-PS,4.0,10.0,Regular   
1-426351-SC,4.0,8.0,Regular   
1-953094-HC,2.0,2.0,Irregular 
1-809026-DV,4.0,8.0,Regular   
1-882716-R\,4.0,8.0,Regular   
1-583203-OV,2.0,2.0,Irregular 
1-476884-YC,4.0,11.0,Regular   
1-692903-FE,2.0,2.0,Irregular 
1-281689-HV,2.0,3.0,Irregular 
1-833789-OP,4.0,9.0,Regular   
1-771597-RJ,4.0,8.0,Regular   
1-247822-UZ,2.0,2.0,Irregular 
1-928767-VF,4.0,12.0,Regular   
1-364340-XP,2.0,3.0,Irregular 
1-508581-J\,4.0,9.0,Regular   
1-186015-GB,3.0,3.0,Regular   
1-730221-WL,1.0,2.0,Fresco    
1-383798-S\,4.0,4.0,Regular   
1-318984-SG,1.0,3.0,Fresco    
1-668293-ZR,3.0,6.0,Regular   
1-607688-ER,1.0,1.0,Fresco    
1-557630-QE,2.0,2.0,Irregular 
1-367957-WW,1.0,1.0,Fresco    
1-779611-MP,1.0,1.0,Fresco    
1-598395-XW,4.0,8.0,Regular   
1-554621-KX,4.0,9.0,Regular   
1-338014-LL,4.0,11.0,Regular   
1-107246-NP,3.0,7.0,Regular   
1-262101-RD,4.0,4.0,Regular   
1-102463-IJ,1.0,1.0,Fresco    
1-937217-EX,2.0,6.0,Irregular 
1-977082-FO,4.0,11.0,Regular   
1-734375-IT,1.0,1.0,Fresco    
1-779356-VL,4.0,5.0,Regular   
1-773062-ZO,4.0,10.0,Regular   
1-202601-X[,2.0,4.0,Irregular 
1-459133-AK,4.0,4.0,Regular   
1-545095-TW,1.0,1.0,Fresco    
1-449937-FF,2.0,3.0,Irregular 
1-286088-R\,1.0,1.0,Fresco    
1-759835-XG,4.0,4.0,Regular   
1-672337-XT,2.0,2.0,Irregular 
1-878223-OQ,4.0,12.0,Regular   
1-987781-VD,4.0,4.0,Regular   
1-187782-BW,2.0,4.0,Irregular 
1-389769-PW,4.0,8.0,Regular   
1-815762-NR,4.0,8.0,Regular   
1-143646-QK,3.0,6.0,Regular   
1-750847-RE,4.0,8.0,Regular   
1-992752-WE,4.0,8.0,Regular   
1-643243-VB,4.0,8.0,Regular   
1-762679-BJ,4.0,12.0,Regular   
1-682424-GB,1.0,1.0,Fresco    
1-803789-TO,4.0,7.0,Regular   
1-184913-UV,4.0,7.0,Regular   
1-585156-XU,4.0,12.0,Regular   
1-286024-TY,4.0,7.0,Regular   
1-206958-RZ,2.0,5.0,Irregular 
1-343957-VZ,2.0,4.0,Irregular 
1-245597-VZ,3.0,9.0,Regular   
1-745444-GV,3.0,7.0,Regular   
1-832309-SL,3.0,7.0,Regular   
1-402976-GH,1.0,1.0,Fresco    
1-581602-OZ,4.0,12.0,Regular   
1-295152-NJ,3.0,6.0,Regular   
1-654009-IZ,1.0,1.0,Fresco    
1-579505-[O,4.0,6.0,Regular   
1-245151-OP,3.0,4.0,Regular   
1-870453-KR,4.0,7.0,Regular   
1-412297-NG,2.0,2.0,Irregular 
1-583990-[Y,4.0,8.0,Regular   
1-926515-ZI,1.0,2.0,Fresco    
1-426342-LR,4.0,10.0,Regular   
1-492817-GT,3.0,6.0,Regular   
1-672809-CU,1.0,2.0,Fresco    
1-452323-[U,3.0,4.0,Regular   
1-341547-OT,3.0,7.0,Regular   
1-588160-ED,4.0,11.0,Regular   
1-830321-Q\,1.0,2.0,Fresco    
1-353096-JU,1.0,1.0,Fresco    
1-496133-GH,1.0,2.0,Fresco    
1-347360-SZ,1.0,1.0,Fresco    
1-100169-LZ,3.0,8.0,Regular   
1-297540-XA,3.0,3.0,Regular   
1-834972-GV,1.0,1.0,Fresco    
1-274714-XU,2.0,3.0,Irregular 
1-411987-LW,4.0,11.0,Regular   
1-630030-CU,4.0,10.0,Regular   
1-698589-VB,4.0,4.0,Regular   
1-965163-WH,4.0,9.0,Regular   
1-248470-UG,3.0,9.0,Regular   
1-443132-SQ,2.0,4.0,Irregular 
1-967691-MH,4.0,4.0,Regular   
1-599396-ST,1.0,1.0,Fresco    
1-196067-IB,2.0,2.0,Irregular 
1-953540-LR,1.0,1.0,Fresco    
1-347124-ZC,3.0,5.0,Regular   
1-410119-P\,4.0,12.0,Regular   
1-733450-SC,1.0,1.0,Fresco    
1-104904-X[,4.0,6.0,Regular   
1-744546-IZ,4.0,6.0,Regular   
1-902321-XR,1.0,2.0,Fresco    
1-283517-MI,1.0,1.0,Fresco    
1-620469-QV,2.0,2.0,Irregular 
1-179241-JJ,1.0,3.0,Fresco    
1-247461-EK,4.0,4.0,Regular   
1-888284-WP,2.0,4.0,Irregular 
1-775737-RD,4.0,4.0,Regular   
1-523336-XY,4.0,4.0,Regular   
1-174641-EU,3.0,4.0,Regular   
1-526647-NX,2.0,3.0,Irregular 
1-651522-T[,4.0,12.0,Regular   
1-826775-D[,2.0,8.0,Irregular 
1-580886-PQ,2.0,2.0,Irregular 
1-562919-UO,1.0,1.0,Fresco    
1-403600-JE,3.0,3.0,Regular   
1-586298-OX,4.0,5.0,Regular   
1-701675-DE,4.0,5.0,Regular   
1-768913-CA,3.0,3.0,Regular   
1-425487-[A,4.0,6.0,Regular   
1-298061-IM,2.0,4.0,Irregular 
1-244354-OR,4.0,10.0,Regular   
1-987528-MT,2.0,2.0,Irregular 
1-971776-JL,4.0,10.0,Regular   
1-260572-NK,2.0,2.0,Irregular 
1-885788-FY,3.0,3.0,Regular   
1-833499-XD,3.0,9.0,Regular   
1-569022-[T,4.0,12.0,Regular   
1-572288-PD,3.0,5.0,Regular   
1-127234-MV,1.0,1.0,Fresco    
1-172255-KO,2.0,4.0,Irregular 
1-596362-OT,4.0,10.0,Regular   
1-189064-DI,1.0,1.0,Fresco    
1-195431-NA,3.0,8.0,Regular   
1-733027-Y[,4.0,12.0,Regular   
1-634772-BT,1.0,1.0,Fresco    
1-539542-VH,3.0,6.0,Regular   
1-288757-H[,4.0,12.0,Regular   
1-805947-LE,1.0,1.0,Fresco    
1-734788-OG,3.0,9.0,Regular   
1-602284-ZJ,3.0,9.0,Regular   
1-581029-DU,4.0,11.0,Regular   
1-911427-AC,4.0,8.0,Regular   
1-224456-LA,4.0,7.0,Regular   
1-527287-EE,2.0,2.0,Irregular 
1-227063-VL,4.0,7.0,Regular   
1-507220-LA,4.0,7.0,Regular   
