ID1,Descripción
484.0,Marca TDC debe inf. X Proc.
485.0,Tipo TDC debe inf. X Proc.
486.0,Periodicidad P. debe inf. X P.
487.0,No. Cuenta debe inf. X Proc.
488.0,Loc.Banxico debe inf. X Proc.
489.0,Act. Especifica debe inf. X P.
490.0,Act. Generica debe inf. X Pro.
491.0,Edo.Civil debe inf. X Proceso.
492.0,Cve.Sexo debe inf. X Proceso
493.0,Fec.Proceso no informada
494.0,CIS no informado
495.0,Institución no informada
496.0,Empresa no informada
497.0,Factor debe inf. X Proceso
498.0,Importe oblig.debe inf. X Proc
499.0,Bandera cta.che.debe inf. X Pr
500.0,Actualizacion correcta d linea
501.0,No se encontró la oferta
502.0,Incon en mto lin vs proc env
504.0,Oferta finalizada correctament
505.0,Oferta no finalizada
600.0,Campo no cumple con longitud
601.0,Campo con null y es requerido
602.0,Campo con -1 y es requerido
603.0,Campo varchar c/cars invalidos
604.0,Campo no es numérico
607.0,Hay oferta CEXT y rechaza RT
608.0,No existe oferta en APSC
700.0,Tabla TE_CLIENT vacía
701.0,Tabla TW_ORCRM vacía
702.0,Tabla TW_SUPPLY vacia
703.0,TABLA TW_OTCRM no está vacía
704.0,Ciudad debe inf. X Proceso
705.0,Tipo Pers. debe inf. X Proceso
706.0,Riesgos 8 debe inf. X Proceso
707.0,Riesgos 9 debe inf. X Proceso
708.0,Riesgos 10 debe inf. X Proceso
709.0,Para Proc=001 Dest. > 2000000
710.0,P. ¬ 001 Des. > 1000000 < 2000
711.0,Destino no informado
712.0,Cotización PFS no informada
713.0,Cotización PFS no es numérica
714.0,Cotización ME no informada
715.0,Cotización ME no es numérica
716.0,TABLA TW_OGCRM no está vacía
717.0,Oferta sin Linea
718.0,Reg. ausente 1ra. resp LEAP
719.0,Linea-Canal 99 y Monto > 30000
720.0,DISCREP / STATUS LEAP-APSC
721.0,Bnd OH NO numér/OFERTA OK
722.0,Bnd OH NO infor/FALTA COM TOT
723.0,Bnd OH Carac inv/FALTA COM PAR
724.0,TC No numer/CAMBIO C-PFU S-PFU
725.0,TC NO infor/OFERTA NO ENCONTRA
726.0,TPO-CTE-OFER CON CARACTS INVAL
727.0,TPO-CTE-OFER NO EXIST EN CATAL
728.0,BND OFER OHCARDS ASIGN INVALID
730.0,ID_SHERWOOD CON ESPACIOS
732.0,BANDERA BAL-TRASFER EN ESPACIO
733.0,CVE. PROMOTOR VIENEN ESPACIOS
734.0,NO. CREDITO TOP-UP EN ESPACIOS
735.0,NO. CREDITO NO INFORMADO X CRM
736.0,ERROR EN CREDITO TOP-UP
737.0,OFERTA NO TOP-UP CON CREDITO
740.0,NO EXISTE LA RELAC. PROC-DEST
741.0,RELAC. PROC-DEST ERRONEA
742.0,NACIONALIDAD NO INFORMADA
743.0,NACIONALIDAD NO ES NUMERICA
744.0,PCT NO INFORMADO
745.0,PCT NO ES NUMERICO
746.0,CLIENTE TIENE OFERTA BB
750.0,OFERTA NO VALIDADA POR LEAP
751.0,DIRECCION 2 CON VALOR INVALIDO
752.0,Apellido sin */mas de 1 *
753.0,CLOUSTER CON ESPACIOS
754.0,CLOUSTER MAYOR A 999
755.0,SCORE CON ESPACIOS
756.0,CLOUSTER CON ESPACIOS
757.0,SCORE NO ES NUMERICO
758.0,SCORE ES MAYOR A 999
